gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,neg_log10_padj
CELF2,4.892255544456699,-1.3649592599667433,0.17479811632870987,-7.808775567122942,5.774622241892851e-15,1.3341729064861809e-12,11.874787882963169
SDPR,11.177697288436853,-1.6007071426874966,0.20575050466211822,-7.779845523665493,7.261315977167575e-15,1.6353301757029508e-12,11.786394549420091
SERPINF1,87.96973039726575,-1.322640105395889,0.17005155799782767,-7.777877021348932,7.37517104565411e-15,1.6379025697223502e-12,11.785711935719942
RASGRP2,2.083487595760068,-1.9095341074388634,0.24615967256093338,-7.75729869792618,8.675743017840361e-15,1.9003442582913337e-12,11.721167716977062
COL14A1,19.746262545244196,-1.7290554410879084,0.22351126032107904,-7.735876208671012,1.0269334936265898e-14,2.2190089950120505e-12,11.653840937301034
RFTN1,15.544168710330723,-1.0919525256485156,0.14125972655127045,-7.73010505051622,1.0745787125998507e-14,2.2314952746067027e-12,11.651404028480368
TENC1,17.9510621959931,-1.0711742612894486,0.13855001466571773,-7.731318281516544,1.0643853256602444e-14,2.2314952746067027e-12,11.651404028480368
LHFP,21.238703507829545,-1.1705542334921228,0.15139067857045688,-7.732009952959882,1.058616653758168e-14,2.2314952746067027e-12,11.651404028480368
CORO1A,14.920091674566116,-1.4523660394695022,0.18792514190982865,-7.728428589754026,1.0888223302449099e-14,2.232085777002065e-12,11.651289119876541
HJURP,6.233388595317478,1.256725516042979,0.16273451757437313,7.7225504138581345,1.140247971490473e-14,2.3079196283712234e-12,11.63677931924362
MAP1A,5.297236772258203,-1.4681317972847652,0.19020296893108005,-7.718763831792458,1.1746331475042173e-14,2.347798003574054e-12,11.629339271013377
LPPR4,1.6849620536179457,-1.8281098731570116,0.2369410949931395,-7.7154614028011625,1.2054533758446402e-14,2.379654256759975e-12,11.623486137602663
C20orf11,20.959005799275136,0.7676158399715638,0.09952353189145463,7.71290794632132,1.2298279652397445e-14,2.398164532217502e-12,11.620121024330203
GAPT,2.2171945149445316,-1.861838439694076,0.24163928867319973,-7.705031950379901,1.3081055879657146e-14,2.5200732953700937e-12,11.598586827745493
RBMS3,2.7727508046773965,-1.3821699413138133,0.17943947730229085,-7.702708245105702,1.3321227545284262e-14,2.5357908148701828e-12,11.59588657559103
MADCAM1,2.8635304642312094,-2.5736749900895846,0.3343013738318292,-7.69866710564066,1.3749284420923724e-14,2.58648303400671e-12,11.587290365993129
ITPKB,11.643125634994023,-1.3613856886132083,0.17692536098410397,-7.694689337022313,1.4183836861642326e-14,2.6372040862518693e-12,11.5788562600043
DCN,229.61495800660032,-1.3635191393248112,0.17727684066737018,-7.691467955948193,1.4545636597188782e-14,2.6430082862391892e-12,11.577901475285877
VSTM4,2.866618573452726,-1.30678240100478,0.169868132674822,-7.692922624317941,1.438114920396205e-14,2.6430082862391892e-12,11.577901475285877
CFD,45.78099514042309,-1.9193620976356816,0.24964541824102796,-7.688352989449114,1.4904113920608224e-14,2.677716647084556e-12,11.572235381438402
ARHGEF6,4.4537221473390645,-1.0734106933335816,0.13972290942473403,-7.682424433852823,1.5610562812525204e-14,2.746272343596327e-12,11.561256396649087
KCNE4,4.776848943807117,-1.3081655229124134,0.17028368369196295,-7.682271692447279,1.562919219932869e-14,2.746272343596327e-12,11.561256396649087
RASAL3,3.8539207509335545,-1.3849919073231833,0.1805155074813196,-7.6724261901239,1.687730808592599e-14,2.933349524934311e-12,11.532636185329647
GMNN,14.417148480521439,0.9608086390231394,0.12534607857870456,7.665246890191699,1.78487525769092e-14,3.068833910804066e-12,11.513026615502094
SLC9A9,2.446675006847725,-1.2294778128332609,0.16061011184395405,-7.655046115824885,1.9324288457720376e-14,3.287184813180307e-12,11.483175878185472
FLRT2,4.0178606631865295,-1.737907078305362,0.2276975032763133,-7.632525843712892,2.3019828935022804e-14,3.874600680747522e-12,11.411773049566463
TROAP,6.756965541428609,1.2623578045788257,0.16543003851457216,7.630765342943621,2.3336411317526827e-14,3.8869710100755624e-12,11.41038869842486
