TF,mean_CIN,mean_GS,diff_CIN_vs_GS,stat,pvalue,padj
RFX1,6.13591491526067,6.361313962753711,-0.22539904749304185,-3.0904961181676436,0.0025194158676142236,0.004314861658327809
KLF1,13.973332693520536,14.325084491319377,-0.35175179779884047,-3.060056413499243,0.0028707798528627127,0.004888527978017648
GFI1B,9.386092258559408,9.557531426285594,-0.17143916772618617,-3.0178294552728997,0.003175904067281296,0.005377383023010377
HIC1,-2.9051089251881304,-2.697648771399591,-0.20746015378853944,-3.0177713056902347,0.0033211275411557306,0.005591502865900609
JUN,15.622267575329843,16.312818876210308,-0.6905513008804647,-3.0016630360061076,0.0034048140658000632,0.005700194334878758
PROX1,6.679324786403291,6.900830201086334,-0.22150541468304308,-2.971291785791835,0.003448439900341625,0.005740978158110637
MXI1,19.39046472973116,19.652414002729138,-0.26194927299797754,-2.9736943311934265,0.003657010184327489,0.006054383527386621
NFKB1,19.464771749496666,20.31302765291839,-0.8482559034217232,-2.9688707886842587,0.0037473574041053874,0.006169682355930416
ELK4,8.846200643232772,9.111523695656082,-0.26532305242331056,-2.945745142428041,0.004045136509212912,0.006623355383216745
HNF1A,1.066230351126942,0.5487787859067195,0.5174515652202225,2.851177173171523,0.005289128922649811,0.008612898464205704
CREM,7.128144697813186,7.335377708931173,-0.20723301111798698,-2.845464711414,0.005334536377443439,0.008639629567816004
ARID3A,7.844778284466355,8.310099215745602,-0.4653209312792468,-2.8068303402294403,0.006063283342798143,0.00976680235758836
NR2F1,9.621229532750329,9.997544720352042,-0.3763151876017137,-2.7921578373517018,0.006205926432043402,0.009942828369617924
HIF1A,24.56768288178345,25.07577231918353,-0.5080894374000771,-2.76986287789178,0.0067503917839974725,0.010757308832252656
THAP1,15.947872750830228,15.604221845995777,0.34365090483445115,2.7543050195243493,0.00698611053972824,0.011073728408718167
MNT,16.46004526510033,16.822413246563013,-0.36236798146268256,-2.7304723186125948,0.007563831041210468,0.011926040477675764
REL,4.2570360442786015,4.619951849774996,-0.36291580549639413,-2.7084981968457047,0.007824077595433371,0.012271448018100761
NFATC2,-0.893277261174117,-0.7217654755971782,-0.1715117855769388,-2.687328593980585,0.008419905156317463,0.013136815374778031
ZNF24,6.061816389141765,5.872366017225106,0.18945037191665914,2.658515762743921,0.008786896992177733,0.013637996373275856
HNF4G,11.553531548870792,11.083921606438894,0.469609942431898,2.6748087124567683,0.008967662412392885,0.013846442481311293
IRF1,10.526466431532565,10.964507860660435,-0.43804142912786936,-2.650272030385171,0.009159310790160616,0.014069456780762183
PAX8,0.4780389888960277,0.6822042614918099,-0.2041652725957822,-2.6381228911728383,0.00960965633925891,0.014685526097944386
NR2F6,9.375663565319966,9.152082854555255,0.2235807107647112,2.6379486311195093,0.009878650606076194,0.015019581023524008
CREB3L1,7.67498344286898,7.489956368074222,0.18502707479475777,2.618568330884942,0.010142191355696164,0.01534199504567237
SOX9,11.278187256238764,10.852213526226949,0.4259737300118154,2.6315035298143035,0.01039779206830768,0.015632409125787554
EHF,6.3450832753087685,5.869875926150946,0.4752073491578228,2.628166290166888,0.010439092000106454,0.015632409125787554
ELF1,14.579129620319636,14.758919545964375,-0.17978992564473906,-2.5928876996862082,0.011057915139784085,0.016476293558278288
GRHL2,16.151187266436963,15.628547529235167,0.5226397372017964,2.574615735083316,0.01191857268783021,0.017670321696385088
HMBOX1,9.86408983071981,10.081177314261696,-0.21708748354188678,-2.538682099191615,0.012826940459691164,0.018922912163306767
ELF3,12.656731185938796,12.139820810375754,0.5169103755630413,2.512902606463514,0.014192470233458286,0.020834266648130883
TFAP4,9.158946295077616,9.407705783094698,-0.24875948801708248,-2.4917931877726196,0.014504433190752435,0.02118784848453052
BCL6,5.81189114350936,5.668800759221593,0.14309038428776688,2.449333209744049,0.015544136054942299,0.022595866070111246
HHEX,5.34774458086128,5.565444915859787,-0.21770033499850783,-2.417268355088946,0.01772592550723462,0.02564235825803843
IRF2,15.955578363213343,16.254330586463144,-0.2987522232498012,-2.3671086179268475,0.01953834077287728,0.028127659663369227
CREB3,10.300566446852823,10.146745066699681,0.15382138015314162,2.3656643612948693,0.02031215104385989,0.029101062553222343
SP1,25.63671503151337,26.13841435972857,-0.5016993282152029,-2.3503723045096354,0.02091486376673349,0.02982119331333292
MBD2,3.3819535181137224,3.6324021295157682,-0.2504486114020459,-2.2912764559424703,0.024281508558330826,0.03445661690658374
BMAL1,6.191724562159971,6.391044753314699,-0.19932019115472777,-2.288581494706606,0.024438929938630373,0.03451564512659645
ESR2,10.047455392379046,10.193062683108693,-0.14560729072964662,-2.267057995810548,0.025329018015710768,0.03560399702208401
GATA6,11.414568192773958,11.68352133594062,-0.2689531431666623,-2.2510919808973915,0.026325534003546553,0.03683102879369424
SNAI2,12.25928051670685,12.505481674528562,-0.24620115782171226,-2.2523151724560946,0.02663175979665223,0.03695649767454379
EGR1,47.09717268568157,47.704638990036536,-0.6074663043549648,-2.2498783755784633,0.02666324496653327,0.03695649767454379
SMAD4,9.624029896421362,9.952360460460783,-0.32833056403942074,-2.2271482920734247,0.028543624061638285,0.03937962949244541
E2F7,7.571660230415436,7.694716752537835,-0.12305652212239959,-2.1963112590760705,0.02997920802961497,0.04116960365357263
VDR,26.450675213333184,26.73635964439445,-0.2856844310612665,-2.1796536155855684,0.031699524191750574,0.04333237710615445
TCF7L1,3.910249007333032,4.123996259542187,-0.21374725220915503,-2.1351175893928644,0.034307211106775086,0.04668287173433322
FOXK2,15.668899183723832,15.817911161401222,-0.1490119776773895,-2.102605916415367,0.037765033422919085,0.051154454363772216
ZBTB11,9.679698148125704,9.490440501361729,0.18925764676397527,2.0812663064023385,0.04016629634743847,0.05416088828749622
KLF3,7.131135454210127,7.313863988986917,-0.18272853477678996,-2.0431640989472104,0.04343795166697742,0.05830860178720392
ELK1,16.139380710140077,15.926725734067722,0.21265497607235595,1.9917955650962595,0.04925232934340924,0.06581701410016123
RELA,17.117801820950234,17.602788950803067,-0.48498712985283277,-1.9395863226418615,0.055180166729927156,0.07340932895320666
