TF,Mean_Act_CIN,Mean_Act_GS,Delta_Activity,p_value,q_value
SOX6,-0.3387097052503377,0.39547060878325063,-0.7341803140335883,2.2999844865583606e-05,6.602541672620121e-05
MYNN,-0.20797185220308353,-0.8411804317904206,0.633208579587337,2.4628067733014156e-05,7.009526970165567e-05
FOXM1,0.3099593780174801,-0.8314268386003495,1.1413862166178297,2.4966611081483955e-05,7.04566227977471e-05
THRB,0.42663115191296275,-0.06438957117385967,0.49102072308682243,2.6365571963572864e-05,7.377928961235096e-05
FOXO3,-0.330921956579369,0.5222666450416694,-0.8531886016210384,3.06073286193022e-05,8.493533691856362e-05
TCF4,0.3162479076831001,1.493730173927103,-1.1774822662440028,3.2304764286645386e-05,8.817611891354847e-05
NR2E1,0.2795213891054702,-0.17255053989095218,0.45207192899642235,3.2304764286645386e-05,8.817611891354847e-05
ZNF584,0.31564923859013727,-0.43478979681549645,0.7504390354056337,3.5492529357245374e-05,9.608953069888381e-05
MAFK,-0.1917195908166062,1.4554156723887846,-1.6471352632053908,3.795001462521082e-05,0.00010191415217899357
KLF9,0.2119802913223307,1.5594881533324199,-1.347507862010089,4.22208783446756e-05,0.00011247641991021581
NFATC2,-0.30382756574524855,0.3487000137723804,-0.652527579517629,4.393701819753714e-05,0.0001161192623792053
ZBED1,-0.14341385083017127,-0.8594433658630957,0.7160295150329243,4.511764821903038e-05,0.0001183006051727332
ZC3H8,0.181437295436271,-0.43511325287947744,0.6165505483157484,4.756976436403945e-05,0.00012279636847461347
MAX,-0.1806865881527428,0.5518995419884547,-0.7325861301411976,4.756976436403945e-05,0.00012279636847461347
CEBPB,-0.0777109240650819,0.7376537084499288,-0.8153646325150108,5.01478852612604e-05,0.00012845573686153625
DDIT3,0.17610601367895898,-0.247663914558312,0.423769928237271,5.4981185282413985e-05,0.00013976133358048744
KLF5,0.5279238914741968,-1.1966251831632027,1.7245490746373995,5.570666475711546e-05,0.00014053272245545038
ARNT,-0.1305111998825606,1.4515482712807726,-1.5820594711633331,5.7184915798317016e-05,0.0001421087832898475
CEBPA,0.05258437435731163,2.236662507813548,-2.1840781334562362,5.7184915798317016e-05,0.0001421087832898475
NR5A1,-0.0946471372834695,0.5024852861840114,-0.597132423467481,6.430895843641152e-05,0.0001586287641431484
FOXP1,-0.36816946413118706,2.204584905893574,-2.5727543700247613,6.862174733538878e-05,0.00016802236663738577
PBX2,-0.050100085787658816,1.3465902556205407,-1.3966903414081995,7.226755019457174e-05,0.00017565762200578386
TFAP2C,0.4296817044313833,3.484655400724836,-3.0549736962934526,7.320721889062834e-05,0.00017665220210564666
SP2,0.6570075982774395,-0.3065799393165748,0.9635875375940143,7.609604492582636e-05,0.00018230203568561282
CREB3,0.3751379419148836,-0.6136033191210322,0.9887412610359158,7.808145772372107e-05,0.00018572232444285082
ATF7,-0.2847975715248621,0.9883012249544798,-1.2730987964793419,8.115162560922093e-05,0.0001916559668643303
NEUROD1,0.023391989066214862,0.8925064982026385,-0.8691145091364236,8.326142010608223e-05,0.000195253893629052
ESR1,0.44802933118753596,2.63397967790942,-2.1859503467218837,8.763748795618337e-05,0.0002040789055203431
ZNF263,0.002011639439224139,2.3595490685909897,-2.3575374291517655,9.582296803431657e-05,0.00022159061357935705
HOXA9,-0.13714768691769952,0.635195374448257,-0.7723430613659565,9.829111139027648e-05,0.00022573062133077288
MBD1,0.18219122735224574,-0.9974889255075365,1.1796801528597822,0.00010340855355997242,0.00023585649544843025
IRF3,0.20452412647092255,-1.253113625462294,1.4576377519332167,0.00012970918328752474,0.00029383100703908664
STAT1,-1.0444231671896702,1.3106818569880199,-2.35510502417769,0.00014511160807153208,0.0003265011181609472
TBP,-0.13727278009680877,0.45693593430489476,-0.5942087144017035,0.00014692550550669567,0.00032836371364919234
