TF,Mean_Act_CIN,Mean_Act_GS,Delta_Activity,p_value,q_value
LHX4,-0.1250755761438331,0.3702922586513004,-0.49536783479513347,0.0001725348377043983,0.00038302733970376423
TCF7L2,0.018854825242735802,0.8637457491618171,-0.8448909239190813,0.00017682899539648295,0.00038996063223197897
FOXA1,-0.10150031507891107,3.374959721069133,-3.476460036148044,0.00018122350552119182,0.0003970225482799795
E2F5,-0.16629820739435036,-0.49771639769769166,0.3314181903033413,0.0001950311108776083,0.000424479476615971
KLF6,-0.1376802709221979,0.437504807019526,-0.5751850779417239,0.00020229998144272418,0.00043712433373012226
SMAD4,0.12421209397783337,1.1232400783253196,-0.9990279843474862,0.00020477896715285007,0.00043712433373012226
CTCFL,-0.31557083433294036,0.8583805391684867,-1.173951373501427,0.00020477896715285007,0.00043712433373012226
MYCN,0.17975220980388276,-0.7958064686028119,0.9755586784066946,0.00022841004672030822,0.0004844620736169595
NFE2L1,0.02139328292212654,1.4371788383276518,-1.4157855554055252,0.0002869505393292641,0.0006047755037762338
MBD2,-0.060420508631453484,0.7628988101743873,-0.8233193188058407,0.0003081816750189052,0.0006454370929641222
HOXD3,-0.11135936144248659,1.0172145169331335,-1.12857387837562,0.00033087681069906725,0.0006886373622674337
CEBPG,0.16645546653176024,0.7617734995026247,-0.5953180329708645,0.00034280213450083854,0.0007046488320295014
ELF5,0.08935689448704828,-0.5530153970387759,0.6423722915258242,0.00034280213450083854,0.0007046488320295014
RXRB,0.0016370626629892554,0.5399318201627821,-0.5382947574997928,0.00035932871927712827,0.0007340887332471394
SOX9,0.5723809778779811,-0.5471110763317012,1.1194920542096822,0.0003678686530132338,0.0007469528137402857
BATF,-0.39746271396356303,0.9798629606173891,-1.3773256745809521,0.0005330783615112215,0.0010693680384532337
HIC1,-0.1796253202395292,0.1133930730944127,-0.2930183933339419,0.0005330783615112215,0.0010693680384532337
TP63,-0.41460658008245904,0.40322877141259095,-0.81783535149505,0.0006111918206146797,0.0012187238099681935
ETS2,-0.4608796911772227,0.3582947251144644,-0.8191744162916872,0.0006181604146398291,0.0012252822504468042
IKZF1,-0.2735798917902156,0.8920471317203341,-1.1656270235105497,0.0006323199304781217,0.001238603157936556
MAFG,-0.005450025192996588,0.8503372253738596,-0.8557872505668562,0.0006323199304781217,0.001238603157936556
CEBPZ,0.06245064730290699,-0.24533971398737875,0.30779036129028575,0.0006395122895454273,0.0012453660375358322
KLF13,-0.2540845773285938,0.39958296189896064,-0.6536675392275544,0.0006467806845182265,0.0012521974880498222
