Gene,Mean_CIN,Mean_GS,Delta_Z,p_value,q_value,neg_log10_q
PAX9,0.09445546875000001,0.057538888888888855,0.03691657986111115,0.8925008507471229,0.9268645663303089,0.03298372043204927
SNORD75,-0.04050468750000004,-0.022675925925925936,-0.017828761574074103,0.8925469175437464,0.926867290620386,0.03298244393227597
OR4X2,-0.0759484375,-0.055624074074074076,-0.020324363425925918,0.892666348406246,0.9269461960112557,0.03294547346451861
FBN2,0.21902812499999996,0.2479055555555556,-0.02887743055555564,0.8927456595583718,0.92698343537635,0.032928026361350955
FSIP1,0.05739609375000001,0.04022962962962963,0.01716646412037038,0.8928745449216202,0.9270571482773515,0.032893493022168235
LINC01088,0.08030859375,0.05859259259259259,0.021716001157407412,0.8929035547200045,0.9270571482773515,0.032893493022168235
S100A14,0.03465390625,0.0078037037037036894,0.02685020254629631,0.892977521968942,0.9270888287692154,0.03287865205174614
LINC00906,0.1853390625000001,0.2160314814814815,-0.030692418981481395,0.8930650946509674,0.9270895189946666,0.03287832871596228
PHF19,0.0618515625,0.03755370370370373,0.02429785879629627,0.8930539863435127,0.9270895189946666,0.03287832871596228
C1QTNF3,0.60778671875,0.5088277777777778,0.09895894097222224,0.8932035874708932,0.9271430640601103,0.03285324628922219
ECE1,0.22407343750000003,0.20185185185185184,0.02222158564814819,0.8931657076571627,0.9271430640601103,0.03285324628922219
LINC00487,0.03287812500000002,0.058098148148148177,-0.025220023148148155,0.893368405026016,0.9272690304660691,0.032794244824274094
ZCCHC12,0.06666093749999999,0.04970740740740743,0.01695353009259256,0.8935377015465339,0.9273996333185104,0.032733080154446675
SLF1,-0.37895546874999997,-0.39809814814814815,0.019142679398148177,0.8936313259291749,0.9274516874397503,0.03270870427335288
PDE6C,-0.13952812499999998,-0.15873703703703704,0.019208912037037063,0.8945940193821744,0.9283604943586115,0.03228334887866503
ACSM2A,0.12359218749999999,0.14403518518518516,-0.020442997685185163,0.8945842384426038,0.9283604943586115,0.03228334887866503
THTPA,0.06653984374999997,0.0838148148148148,-0.017274971064814834,0.8946802397959368,0.9284048110917468,0.032262617650433
PIM2,-0.20953437500000002,-0.2267185185185185,0.01718414351851849,0.8949552784244117,0.9285547276751848,0.032192494480040613
RPL6,-0.04622109375,-0.026751851851851863,-0.019469241898148134,0.8948707219735381,0.9285547276751848,0.032192494480040613
IFT57,0.06751328124999999,0.09257962962962961,-0.02506634837962962,0.894948571404817,0.9285547276751848,0.032192494480040613
UBR7,-0.35499375,-0.3352777777777778,-0.01971597222222221,0.895225005183095,0.9286990900311841,0.03212497998726249
DUT,-0.3956359375,-0.4136962962962963,0.018060358796296305,0.8951450249597019,0.9286990900311841,0.03212497998726249
GALNT7,-0.35646796875,-0.37256851851851847,0.01610054976851849,0.8951902808545084,0.9286990900311841,0.03212497998726249
ZNF404,0.32835234375,0.35637777777777785,-0.02802543402777785,0.8953991949604307,0.9288346294783288,0.03206160128951785
HSD52,0.038989843749999996,0.018812962962962962,0.020176880787037034,0.8955306782609005,0.9289258567044103,0.03201894834129009
PPIAL4E,0.08767734375000003,0.12135000000000001,-0.03367265624999999,0.8957926633195177,0.9291524367699893,0.03191302979843475
YAF2,0.15599843749999998,0.13035185185185186,0.025646585648148118,0.8958777218940351,0.9291954884107554,0.03189290752771073
DPY19L2P4,0.09557265625,0.1135203703703704,-0.017947714120370398,0.8961047612397331,0.9293406125340126,0.031825083603259974
C15orf62,0.1767015625,0.1476814814814815,0.029020081018518495,0.8960813827187266,0.9293406125340126,0.031825083603259974
WDR13,0.28359375000000003,0.2612537037037037,0.022340046296296323,0.8961905772776763,0.929370348542052,0.03181118775341898
OR5D14,-0.10068046875,-0.09341111111111114,-0.0072693576388888625,0.8962205554677374,0.929370348542052,0.03181118775341898
PDZD9,0.060685937500000016,0.08263333333333335,-0.021947395833333334,0.8962896299690746,0.9293968046362191,0.03179882500460388
OPN1MW,-0.014408593750000032,-0.03536851851851856,0.02095992476851853,0.8965090952636905,0.9295655230787537,0.03171999232715058
SCARNA23,0.07878125,0.10329259259259262,-0.02451134259259262,0.8965394782466143,0.9295655230787537,0.03171999232715058
SNORA79,-0.017648437500000003,0.003137037037037037,-0.020785474537037038,0.896594805746027,0.9295777131203949,0.03171429715776724
RIT2,0.29592500000000005,0.23975000000000005,0.056175,0.896705097285109,0.929646885202284,0.03168198147787881
SNORD41,0.06390781250000004,0.08918148148148154,-0.025273668981481506,0.8968182648995573,0.9297088104211945,0.03165305341324147
MYT1L,0.013966406249999973,0.0335851851851852,-0.019618778935185224,0.8968955582886817,0.9297088104211945,0.03165305341324147
CMC4,0.19447734375000003,0.17095925925925926,0.023518084490740776,0.8968526664419298,0.9297088104211945,0.03165305341324147
RO60,0.19326796874999996,0.21744074074074077,-0.024172771990740805,0.8970013935629162,0.9297733436168107,0.03162290909515148
SPANXN2,0.009346093749999965,0.027414814814814805,-0.01806872106481484,0.8973188753195044,0.9300572388720183,0.0314903226704592
MIR-3665/3665,0.04792499999999997,0.06733333333333336,-0.01940833333333339,0.8974288423687304,0.930126031184691,0.03145820097332793
IFITM1,-0.346134375,-0.3335166666666667,-0.01261770833333331,0.8976648182426603,0.93032541033747,0.03136511682798833
CHIAP2,0.020670312499999968,-0.003527777777777786,0.024198090277777754,0.8979894230926982,0.9304371061247205,0.031312978133572617
MIR-4449/4449,-0.182309375,-0.1721648148148148,-0.010144560185185197,0.8979906469282456,0.9304371061247205,0.031312978133572617
SNORD15B,0.03868125000000003,0.06682407407407408,-0.02814282407407405,0.897986701428229,0.9304371061247205,0.031312978133572617
ZIC4,0.06331640625000001,0.03841481481481484,0.024901591435185173,0.8979240782054427,0.9304371061247205,0.031312978133572617
DUS2,-0.41657265625,-0.396624074074074,-0.01994858217592599,0.897956715797738,0.9304371061247205,0.031312978133572617
CATSPERE,0.24004921875000002,0.2172351851851852,0.022814033564814817,0.8980351541820568,0.9304380348909373,0.03131254461921794
HRC,0.70356484375,0.611027777777778,0.092537065972222,0.8980805899732736,0.9304399255611029,0.031311662124355356
MIR-3938/3938,-0.031832812499999925,-0.014124074074074065,-0.01770873842592586,0.8982655135969637,0.930586322841178,0.031243334736616456
FAM225B,0.05176484375000001,0.07101296296296294,-0.019248119212962933,0.8983936076638013,0.9306738344019034,0.031202495966382335
MIR-4500/4500,0.01418671874999993,0.03331851851851848,-0.019131799768518552,0.898554814634303,0.9307956384843102,0.031145660394584277
CYP4F8,0.72126875,0.6398444444444444,0.08142430555555558,0.8988960435152548,0.9311039029178017,0.031001852911228003
TMEM80,-0.07306718749999999,-0.09362222222222222,0.020555034722222226,0.8990581918225844,0.931226649312304,0.030944604124948615
OR51Q1,0.0031679687499999755,-0.015374074074074104,0.01854204282407408,0.8991798939125825,0.9312783661567997,0.030920485703784487
NKX6-1,0.1526953125,0.12256296296296297,0.030132349537037043,0.8991954226777631,0.9312783661567997,0.030920485703784487
GLUL,0.14487421874999998,0.1695148148148148,-0.024640596064814835,0.8997812323526719,0.931839842349607,0.030658724513834237
FOLH1,0.04919140625000003,0.024061111111111116,0.02513029513888891,0.9001053025447951,0.932130212105291,0.030523415490683523
MIR-4467/4467,0.25405546875000007,0.2257944444444444,0.02826102430555566,0.9002066653995666,0.9321899338105982,0.030495591077445844
LINC00944,-0.05641015625000001,-0.07874629629629626,0.02233614004629625,0.9002509593526189,0.9321905560953273,0.030495301163637505
IQCF5,-0.10746796875000006,-0.08926481481481487,-0.018203153935185193,0.900383529874239,0.9322825823764567,0.03045242952843682
OR4C12,-0.08690078124999996,-0.10096296296296298,0.014062181712963015,0.9005545361104392,0.9323886156397887,0.03040303780590481
ENTPD7,-0.02883437499999999,-0.05029444444444448,0.021460069444444493,0.9005733396995137,0.9323886156397887,0.03040303780590481
CLCA4,0.027942187499999993,0.006257407407407407,0.021684780092592587,0.9007931169639483,0.9325256514350933,0.030339213006146636
ZCCHC13,-0.033284375000000005,-0.05106666666666669,0.017782291666666686,0.9007860621118867,0.9325256514350933,0.030339213006146636
MIR3936HG,-0.0139796875,0.006075925925925947,-0.020055613425925947,0.9011268404587685,0.9328258680828639,0.03019941904960406
LMO4,-0.02314140624999996,-0.042327777777777784,0.019186371527777822,0.9011817331799865,0.9328374303718894,0.030194036043649935
HNRNPKP3,-0.008017187499999998,0.012494444444444423,-0.02051163194444442,0.9014587644651698,0.9330789219806132,0.03008162106475978
OR13J1,0.14564140624999994,0.12023888888888884,0.0254025173611111,0.9017170612588724,0.9333009994643207,0.02997826908901667
XDH,0.003725781250000011,0.025301851851851857,-0.021576070601851845,0.9018436522149806,0.9333550362633379,0.029953124784773896
OR9A4,0.09694374999999995,0.07254074074074073,0.02440300925925923,0.9018567645919247,0.9333550362633379,0.029953124784773896
PLEKHJ1,-0.17533359375000002,-0.19642037037037038,0.021086776620370368,0.9019176228018096,0.9333727436203245,0.02994488554656095
NEK10,0.25205,0.274037037037037,-0.021987037037037027,0.90210991684277,0.9335264624261773,0.029873366710320325
KRT6B,0.006107031250000006,0.030714814814814778,-0.024607783564814772,0.902411683524508,0.9337934459208157,0.02974917860655461
TUBB4A,0.26089843749999997,0.23434259259259263,0.02655584490740734,0.902805989667173,0.9340655540249811,0.029622643307091828
SLC26A4-AS1,0.20969140625,0.23789444444444444,-0.028203038194444446,0.9028049969361357,0.9340655540249811,0.029622643307091828
MAGED4B,0.17348437499999997,0.19414074074074078,-0.020656365740740812,0.9027726278710382,0.9340655540249811,0.029622643307091828
WDR55,-0.39668437500000003,-0.37804814814814813,-0.0186362268518519,0.9029088140080617,0.9341266388741148,0.029594242789182643
KCTD21,0.3811046875,0.3590907407407407,0.022013946759259273,0.9030463561248565,0.9342236341911367,0.02954915003372004
LINC01116,0.08763828125,0.10392037037037036,-0.016282089120370352,0.9036041346538803,0.9347553439119732,0.02930204334427206
SLC26A3,0.18016953124999996,0.2072611111111111,-0.02709157986111113,0.9037329230776229,0.9347979207728635,0.029282262259567083
RAB11FIP5,0.25244296875,0.2321,0.020342968749999996,0.9037319319592532,0.9347979207728635,0.029282262259567083
CHRNB3,-0.02321015624999996,-0.04040185185185184,0.01719169560185188,0.90380654888986,0.934828754572413,0.029267937529204324
OR5C1,0.16751875,0.14507777777777772,0.022440972222222272,0.9043922488173133,0.9353892102248099,0.029007644013629968
ACADL,0.13316875,0.15806666666666663,-0.02489791666666663,0.9046595665142672,0.935620333103005,0.02890034857891644
PRKCG,-0.02765390625,-0.007899999999999994,-0.019753906250000005,0.9047430401578588,0.9356613069204031,0.028881329846064317
FOXD4L1,-0.10650625000000002,-0.12933518518518514,0.022828935185185112,0.90516278848479,0.9359592929929238,0.028743039309959653
SPDYA,0.172209375,0.1946740740740741,-0.022464699074074113,0.9051536007363161,0.9359592929929238,0.028743039309959653
SNORD114-12,0.048100781250000016,0.026551851851851865,0.02154892939814815,0.9050895037644726,0.9359592929929238,0.028743039309959653
CGRRF1,-0.035968749999999994,-0.018112962962962963,-0.01785578703703703,0.9053151779441395,0.9360714995366006,0.028690977471014373
LPAR3,0.1671828125,0.19320370370370374,-0.02602089120370374,0.9055222464589452,0.9362402291350422,0.02861270168753968
IDUA,0.13863750000000002,0.11880555555555555,0.01983194444444447,0.9057337335853357,0.936277397453517,0.028595460733021407
SPINK13,-0.008154687500000007,-0.022614814814814824,0.014460127314814816,0.9057308071093424,0.936277397453517,0.028595460733021407
FYTTD1,0.04593671875,0.06545185185185184,-0.019515133101851843,0.9056216916879752,0.936277397453517,0.028595460733021407
HTRA4,-0.07875234375000001,-0.09645000000000002,0.017697656250000013,0.9056553841137782,0.936277397453517,0.028595460733021407
MOCS2-DT,-0.12421328125,-0.14203333333333337,0.01782005208333337,0.905856144051618,0.9363585675068444,0.028557811444064475
HSFY1P1,0.037197656249999975,0.017079629629629636,0.02011802662037034,0.9063181644263073,0.9367453753529341,0.02837844231066219
PITX3,0.07206796875000003,0.05215370370370368,0.01991426504629635,0.9063145912566131,0.9367453753529341,0.02837844231066219
WDR36,-0.3700046875,-0.3541962962962963,-0.015808391203703698,0.9069148412415204,0.9373166757684367,0.028113656386952637
RNF146,0.22016640625,0.20048333333333326,0.01968307291666674,0.9072297499150717,0.9375967212961661,0.02798392001782813
KCNJ13,0.10740234375000002,0.12968148148148154,-0.02227913773148152,0.9073646758489168,0.9376907415469431,0.027940372053110323
LINC00593,0.15819921875000006,0.1340796296296297,0.024119589120370377,0.907472708700072,0.9377384745372562,0.02791826492784596
CSTA,-0.0004554687500000071,-0.01721666666666667,0.01676119791666666,0.9074987712102521,0.9377384745372562,0.02791826492784596
ZNF460,0.04535468750000002,0.06502777777777777,-0.01967309027777775,0.9077161179373947,0.9378825964852128,0.02785152291069882
ARNTL,-0.03853828124999999,-0.019957407407407413,-0.018580873842592573,0.9077261652131783,0.9378825964852128,0.02785152291069882
ACY1,0.05225234374999998,0.026046296296296317,0.02620604745370366,0.9078078328288979,0.937921555128549,0.02783348315552369
MIA,-0.10252109375,-0.08810000000000003,-0.014421093749999975,0.9079287659017248,0.9380010760018062,0.02779666343183223
IRX1,0.007578125000000005,0.02061296296296297,-0.013034837962962963,0.908049784536739,0.9380806775659174,0.027759809472777
MOG,0.019736718750000024,0.03795555555555556,-0.018218836805555538,0.9082076160117003,0.9380932911258922,0.027753969929551554
KANK1,0.38782187500000004,0.41072962962962967,-0.02290775462962963,0.9083138100093887,0.9380932911258922,0.027753969929551554
ZNF286A,-0.2299109375,-0.2478574074074074,0.017946469907407392,0.9082486285734721,0.9380932911258922,0.027753969929551554
LINC02774,-0.00896875,0.007835185185185202,-0.0168039351851852,0.9083258124245925,0.9380932911258922,0.027753969929551554
ILDR2,0.17559296875000002,0.1526425925925926,0.022950376157407415,0.9081651518380971,0.9380932911258922,0.027753969929551554
TRIM66,-0.10623671874999999,-0.12360740740740743,0.017370688657407443,0.9083127181103181,0.9380932911258922,0.027753969929551554
NEMF,-0.03880390624999999,-0.058183333333333316,0.019379427083333324,0.908420912379555,0.9381460944681643,0.027729525074212794
LUC7L,-0.04636093749999999,-0.06690185185185185,0.02054091435185186,0.9087407505347931,0.9384309735072512,0.02759766649217306
EDDM3B,0.056707031249999956,0.03237592592592596,0.024331105324073996,0.9088190842781873,0.9384664422377971,0.027581252303705662
USH1G,0.11135703125,0.08542592592592593,0.02593110532407407,0.9094283419983509,0.9390501246991974,0.027311225306554103
LINC01135,0.10566718750000001,0.09002777777777776,0.015639409722222247,0.9096122798012262,0.9391945985364739,0.027244413788697946
SPRR2B,0.15036093749999996,0.11566851851851856,0.0346924189814814,0.909916354232378,0.9394602052093125,0.027121611544337718
HOXB1,0.02573124999999998,0.0435148148148148,-0.017783564814814818,0.9099575880314246,0.9394602052093125,0.027121611544337718
BRD1,-0.0147140625,-0.03360925925925927,0.01889519675925927,0.910017192439188,0.939476279913388,0.027114180579711013
OR10AD1,0.1142265625,0.1358481481481482,-0.021621585648148187,0.9101293356258513,0.9395465900023001,0.027081679342882234
SLC7A7,0.002939062499999992,0.022303703703703714,-0.019364641203703722,0.9102710610027229,0.9396019684790311,0.027056082040573283
HOXA9,-0.20509531250000002,-0.21418333333333336,0.009088020833333349,0.9102490985210373,0.9396019684790311,0.027056082040573283
SNORD93,0.08617890624999999,0.0682888888888889,0.017890017361111094,0.9104575661527036,0.9397490166360876,0.026988120064529646
TRMO,-0.22543750000000004,-0.24452777777777773,0.019090277777777692,0.9105033380120852,0.9397507965985117,0.026987297475611738
NEFL,0.30575468750000007,0.339362962962963,-0.03360827546296291,0.9106346492501936,0.9398408592179217,0.026945678117976875
C2orf73,0.06877031250000001,0.08392592592592593,-0.015155613425925918,0.9107354614067282,0.9398994373875368,0.026918610361991654
KRTAP12-2,0.10992890624999997,0.1291796296296296,-0.019250723379629617,0.9108571115342835,0.9399795141038957,0.026881611303050067
OR4D10,-0.024039843750000026,-0.00363333333333333,-0.020406510416666697,0.9109354286635403,0.940014866773235,0.026865277776341068
CMBL,-0.09620859374999999,-0.11207222222222223,0.015863628472222238,0.9111124343037246,0.9401520500033839,0.0268019026372112
TSPOAP1,0.05171171875,0.03442592592592592,0.01728579282407408,0.9113463947668692,0.9403401529451457,0.026715018926891827
TAFA4,0.46693203125,0.5144925925925926,-0.04756056134259262,0.9113828770845898,0.9403401529451457,0.026715018926891827
FAM157B,0.3224796875,0.2974833333333334,0.024996354166666623,0.9116918309875688,0.9406134346012757,0.026588822600854316
RPS11,-0.0064406249999999915,-0.02431851851851851,0.01787789351851852,0.9119349376643298,0.9407277775393326,0.02653603206314281
CA9,-0.005239062500000002,-0.01997407407407408,0.01473501157407408,0.9118754392528161,0.9407277775393326,0.02653603206314281
